model,pair_id,shared_eligible,event_type,condition,waveform_sha256,ignore_correct,use_correct,ignore_prediction,use_prediction,failure_stage,ignore_valid_selection,use_event_selected,ignore_target_coverage
3b,dev-esc50-0001,True,siren,base,0512cf0097ea06026cbbd0923d94a6aa4f2fbeae336f9b9c56462fdb65efe02e,True,True,A,C,,,,
3b,dev-esc50-0002,True,fireworks,base,82e49db9fd03d02e0745820a94d1941a9692ee99f2634ee2a0901678aecda0e0,True,True,D,B,,,,
3b,dev-esc50-0003,True,clock_alarm,base,a939f6f1b079143f877299610a111b549f217561acf05f3f8d4e02c8d0a267aa,True,True,B,B,,,,
3b,dev-esc50-0004,False,fireworks,base,4c96306a69e1051b31d54255071b3a4d9f45598c18df326d2c155adb6d65cf89,False,True,B,B,,,,
3b,dev-esc50-0006,False,rain,base,4416161f008fc06e18d6ad2285052cbdad3b2112f29f987a2b522e026e7b4ccb,True,True,B,A,,,,
3b,dev-esc50-0007,False,footsteps,base,ca91247c507a3be0abd6abdae8db8def080cdeabe77f5b5636df26bb97735027,True,True,A,B,,,,
3b,dev-esc50-0010,True,car_horn,base,17bd259ba7c5f364907b2abdd4c3a117541e6d2f7148d115a59fb84f066c13fe,True,True,C,C,,,,
3b,dev-esc50-0011,True,siren,base,eb8151794e1914ed77ac34dd91c0768e8232d12ebeacfb87ab163476c481fb83,True,True,A,A,,,,
3b,dev-esc50-0014,True,dog,base,35744dd704733b74c727e8799d2b7edcefd87caa8e9ca3d49c2743d3313ed87e,True,True,C,D,,,,
3b,dev-esc50-0015,True,crying_baby,base,9e8d8c202081221c0eeeea5e63d8921b3bb9e1f2a2d14f0d8cf1219394913393,True,True,A,D,,,,
3b,dev-esc50-0017,True,rain,base,9e6cd6be987ca15907674fb3463bf6bc8747ebb97fd04da62523ffbc4df1f19f,True,True,A,B,,,,
3b,dev-esc50-0018,True,thunderstorm,base,eee90f350ce4874f6fe9d7905e3ae6a53f05fcb91910c6714fc84ce17d907df9,True,True,D,C,,,,
3b,dev-esc50-0020,True,glass_breaking,base,c8ff4eadec38ef3305194d1e6896e82e297183755e6536175bc5d225650c537f,True,True,B,B,,,,
3b,dev-esc50-0022,False,sheep,base,c2d16d914e538f732b4e3f7368bab045ee8996cc471038f70a3516f44bf703c3,True,True,A,B,,,,
3b,dev-esc50-0025,True,sheep,base,64319841650d658c4ca1e92cadbcf992e62b669a84d71edac72de98836b9a0a9,True,True,C,A,,,,
